From,To,Start,Stop,Status,Duration,Filesize
EBI,BILS,1456860307.74613,1456860753.61001,0,445.863,10485760000
EBI,BILS,1456860828.87236,1456861338.2457,0,509.373,10485760000
EBI,BILS,1456861413.27985,1456861886.23473,0,472.954,10485760000
EBI,BILS,1456861961.96191,1456862437.21508,0,475.253,10485760000
EBI,BILS,1456862512.31018,1456862970.92178,0,458.611,10485760000
EBI,BILS,1456863047.90691,1456863486.56167,0,438.654,10485760000
EBI,BILS,1456863562.02015,1456864020.18245,0,458.162,10485760000
EBI,BILS,1456864097.46687,1456864574.58856,0,477.121,10485760000
EBI,BILS,1456864662.23533,1456865085.23292,0,422.997,10485760000
EBI,BILS,1456865161.34162,1456865610.95325,0,449.611,10485760000
EBI,BILS,1456865684.77417,1456866114.49534,0,429.721,10485760000
EBI,BILS,1456866188.07789,1456866669.76979,0,481.691,10485760000
EBI,BILS,1456866744.638,1456867207.21631,0,462.578,10485760000
EBI,BILS,1456867282.37776,1456867728.71003,0,446.332,10485760000
EBI,BILS,1456867803.75289,1456868258.1577,0,454.404,10485760000
EBI,BILS,1456868333.346,1456868776.41798,0,443.071,10485760000
EBI,BILS,1456868852.09769,1456869278.65484,0,426.557,10485760000
EBI,BILS,1456869353.70548,1456869787.84104,0,434.135,10485760000
EBI,BILS,1456869862.76987,1456870317.61197,0,454.842,10485760000
EBI,BILS,1456870392.71815,1456870785.46032,0,392.742,10485760000
EBI,BILS,1456870859.39833,1456871281.68001,0,422.281,10485760000
EBI,BILS,1456871357.57876,1456871793.58022,0,436.001,10485760000
EBI,BILS,1456871868.07975,1456872303.43013,0,435.35,10485760000
EBI,BILS,1456872378.54429,1456872809.94358,0,431.399,10485760000
EBI,BILS,1456872884.77723,1456873313.24706,0,428.469,10485760000
EBI,BILS,1456873388.74986,1456873817.97712,0,429.227,10485760000
EBI,BILS,1456873892.91686,1456874321.38416,0,428.467,10485760000
EBI,BILS,1456874396.41104,1456874840.46921,0,444.058,10485760000
EBI,BILS,1456874915.3341,1456875321.84219,0,406.508,10485760000
EBI,BILS,1456875397.71069,1456875833.87873,0,436.168,10485760000
EBI,BILS,1456875908.77792,1456876332.08664,0,423.308,10485760000
EBI,BILS,1456876407.14044,1456876851.32581,0,444.185,10485760000
EBI,BILS,1456876926.04867,1456877352.7995,0,426.75,10485760000
EBI,BILS,1456877427.89613,1456877879.76089,0,451.864,10485760000
EBI,BILS,1456877954.73004,1456878391.65231,0,436.922,10485760000
EBI,BILS,1456910180.99234,1456910664.72927,0,483.736,10485760000
EBI,BILS,1456910739.38717,1456911263.16758,0,523.78,10485760000
EBI,BILS,1456911338.40135,1456911873.22466,0,534.823,10485760000
EBI,BILS,1456911948.33817,1456912389.27815,0,440.939,10485760000
EBI,BILS,1456912464.34364,1456912893.29357,0,428.949,10485760000
EBI,BILS,1456912968.58262,1456913420.34237,0,451.759,10485760000
EBI,BILS,1456913494.45526,1456913942.66804,0,448.212,10485760000
EBI,BILS,1456914016.83482,1456914503.21888,0,486.384,10485760000
EBI,BILS,1456914578.56097,1456915030.83427,0,452.273,10485760000
EBI,BILS,1456915107.79184,1456915576.76604,0,468.974,10485760000
EBI,BILS,1456915651.74748,1456916090.29092,0,438.543,10485760000
EBI,BILS,1456916165.20617,1456916566.88599,0,401.679,10485760000
EBI,BILS,1456916642.27082,1456917023.54174,0,381.27,10485760000
EBI,BILS,1456917098.93869,1456917471.69344,0,372.754,10485760000
EBI,BILS,1456917546.93956,1456917906.92393,0,359.984,10485760000
EBI,BILS,1456917982.01902,1456918356.92664,0,374.907,10485760000
EBI,BILS,1456918431.05863,1456918816.74904,0,385.69,10485760000
EBI,BILS,1456918891.85893,1456919265.29033,0,373.431,10485760000
EBI,BILS,1456919340.59148,1456919732.63015,0,392.038,10485760000
EBI,BILS,1456919806.81061,1456920161.40979,0,354.599,10485760000
EBI,BILS,1456920236.68,1456920559.62045,0,322.94,10485760000
EBI,BILS,1456920633.40448,1456920969.27859,0,335.874,10485760000
EBI,BILS,1456921044.63654,1456921404.32601,0,359.689,10485760000
EBI,BILS,1456921478.03915,1456921830.01759,0,351.978,10485760000
EBI,BILS,1456921907.5551,1456922267.7791,0,360.224,10485760000
EBI,BILS,1456922343.03139,1456922735.9086,0,392.877,10485760000
EBI,BILS,1456922811.13376,1456923157.06422,0,345.93,10485760000
EBI,BILS,1456923231.98979,1456923559.46066,0,327.47,10485760000
EBI,BILS,1456923635.59341,1456924016.49744,0,380.904,10485760000
EBI,BILS,1456924090.51423,1456924465.6126,0,375.098,10485760000
EBI,BILS,1456924540.87551,1456924917.56051,0,376.685,10485760000
EBI,BILS,1456924991.3067,1456925322.92235,0,331.615,10485760000
EBI,BILS,1456925397.92539,1456925764.1702,0,366.244,10485760000
EBI,BILS,1456925837.96872,1456926200.67042,0,362.701,10485760000
EBI,BILS,1456926275.8517,1456926674.24175,0,398.39,10485760000
EBI,BILS,1456926749.13311,1456927143.06838,0,393.935,10485760000
EBI,BILS,1456927217.03473,1456927549.04265,0,332.007,10485760000
EBI,BILS,1456927625.31246,1456927999.87825,0,374.565,10485760000
EBI,BILS,1456928075.07831,1456928445.69755,0,370.619,10485760000
EBI,BILS,1456928520.63458,1456928883.97777,0,363.343,10485760000
EBI,BILS,1456928959.26891,1456929339.16647,0,379.897,10485760000
EBI,BILS,1456929412.7657,1456929782.80097,0,370.035,10485760000
EBI,BILS,1456929858.14691,1456930246.47604,0,388.329,10485760000
EBI,BILS,1456930322.34672,1456930709.46935,0,387.122,10485760000
EBI,BILS,1456930785.38336,1456931130.81219,0,345.428,10485760000
EBI,BILS,1456931205.93722,1456931576.19256,0,370.255,10485760000
EBI,BILS,1456931651.3766,1456932005.49956,0,354.122,10485760000
EBI,BILS,1456932080.60306,1456932446.0816,0,365.478,10485760000
EBI,BILS,1456932521.00966,1456932883.65124,0,362.641,10485760000
EBI,BILS,1456932958.93462,1456933321.5867,0,362.652,10485760000
EBI,BILS,1456933397.01266,1456933765.36698,0,368.354,10485760000
EBI,BILS,1456933849.92051,1456934253.33708,0,403.416,10485760000
EBI,BILS,1456934328.39327,1456934663.15467,0,334.761,10485760000
EBI,BILS,1456934738.1127,1456935100.49936,0,362.386,10485760000
EBI,BILS,1456935175.54056,1456935574.09345,0,398.552,10485760000
EBI,BILS,1456935649.11022,1456936004.72862,0,355.618,10485760000
EBI,BILS,1456936634.48434,1456936640.71616,0,6.231,104857600
EBI,BILS,1456936719.32458,1456936723.84846,0,4.523,104857600
EBI,BILS,1456937046.34281,1456937497.41316,0,451.07,10485760000
EBI,BILS,1456937824.72316,1456938243.5012,0,418.778,10485760000
EBI,BILS,1456938574.67749,1456939025.46096,0,450.783,10485760000
EBI,BILS,1456939350.5591,1456939852.88705,0,502.327,10485760000
EBI,BILS,1456940186.22452,1456940668.25538,0,482.03,10485760000
EBI,BILS,1456941002.64405,1456941422.15125,0,419.507,10485760000
EBI,BILS,1456941762.57259,1456942238.2026,0,475.63,10485760000
EBI,BILS,1456942570.39035,1456942982.11074,0,411.72,10485760000
EBI,BILS,1456943323.3088,1456943837.75813,0,514.449,10485760000
EBI,BILS,1456944176.29912,1456944636.88259,0,460.583,10485760000
EBI,BILS,1456944965.04483,1456945519.18215,0,554.137,10485760000
EBI,BILS,1456945840.57456,1456949285.24315,0,3444.668,10485760000
EBI,BILS,1456949607.95716,1456950338.27893,0,730.321,10485760000
EBI,BILS,1456950659.52246,1456951105.80676,0,446.284,10485760000
EBI,BILS,1456951448.70232,1456951956.30976,0,507.607,10485760000
EBI,BILS,1456952271.19819,1456952800.49752,0,529.299,10485760000
EBI,BILS,1456953126.69086,1456953664.34059,0,537.649,10485760000
EBI,BILS,1456954000.07773,1456954453.741,0,453.663,10485760000
EBI,BILS,1456954792.09102,1456955246.15756,0,454.066,10485760000
EBI,BILS,1456955588.64816,1456956069.82141,0,481.173,10485760000
EBI,BILS,1456956400.3306,1456956867.60384,0,467.273,10485760000
EBI,BILS,1456957215.92885,1456957607.6424,0,391.713,10485760000
EBI,BILS,1456957925.87809,1456958329.93435,0,404.056,10485760000
EBI,BILS,1456958671.14279,1456959183.40198,0,512.259,10485760000
EBI,BILS,1456959517.059,1456959970.39293,0,453.333,10485760000
EBI,BILS,1456960298.63022,1456960710.82886,0,412.198,10485760000
EBI,BILS,1456961033.77449,1456961447.59492,0,413.82,10485760000
EBI,BILS,1456961774.22713,1456962233.59523,0,459.368,10485760000
EBI,BILS,1456962551.85706,1456962959.61924,0,407.762,10485760000
EBI,BILS,1456963295.16206,1456963757.01439,0,461.852,10485760000
EBI,BILS,1456964094.47447,1456964515.34066,0,420.866,10485760000
